Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,A,0,0,0,0,24310000000.0,25540000000.0,32.3,23.2,2.15,4.73,5.01,4.88,20.78,14.59,19.29,6.84,15.46,5240000000.0,16.78,5.7,2810000000.0,1270000000.0,764000000.0,2.42,-60.9,1230000000.0,3.96,2650000000.0,54.74,1.64,15.64,749000000.0,620750000.0,1.1,74.87,79.46,2560000.0,309650000.0,308550000.0,0.37,89.39,5260000.0,2.55,1.7,4770000.0
0,0,AA,0,0,0,0,1390000000.0,2370000000.0,N/A,N/A,N/A,0.14,0.33,0.23,4.54,-8.38,5.96,2.54,-10.18,10090000000.0,54.49,-12.4,1920000000.0,1310000000.0,-846000000.0,-4.57,N/A,829000000.0,4.46,1950000000.0,33.52,1.5,22.99,428000000.0,661630000.0,2.24,7.21,14.91,9130000.0,185920000.0,175630000.0,0.38,77.21,11630000.0,1.1,7.0,9480000.0
0,0,AAPL,0,0,0,0,995150000000.0,943180000000.0,24.25,26.18,2.17,5.2,17.14,5.07,16.58,21.35,24.48,12.38,62.09,267980000000.00003,60.1,0.5,98390000000.0,77310000000.0,57220000000.0,12.73,-2.7,94050000000.0,21.7,118760000000.0,151.43,1.5,18.14,75370000000.0,45040000000.0,1.17,273.18,282.03,51490000.0,4330000000.0,4330000000.0,0.07,62.12,30120000.0,0.76,0.7,39060000.0
0,0,ABBV,0,0,0,0,123980000000.0,150790000000.0,14.86,8.7,1.28,3.66,N/A,4.43,13.96,24.77,41.12,N/A,N/A,34060000000.000004,22.99,10.1,25830000000.0,16020000000.0,8400000000.0,5.65,22.6,39920000000.0,26.99,67090000000.0,N/A,N/A,-5.53,N/A,N/A,0.78,79.29,84.74,12850000.0,1480000000.0,1480000000.0,0.11,76.76,85240000.0,8.31,5.78,84640000.0
0,0,ABC,0,0,0,0,17920000000.0,18370000000.0,11.58,11.68,12.05,0.1,4.99,0.1,11.22,0.85,0.99,2.86,47.22,186160000000.0,898.19,9.5,4990000000.0,2270000000.0,1580000000.0,7.59,3438.9,3690000000.0,18.15,4670000000.0,126.07,0.97,17.66,2240000000.0,1070000000.0000001,0.61,86.35,87.44,1970000.0,203400000.0,146830000.0,27.78,67.9,3830000.0,2.51,2.62,4019999.9999999995
0,0,ABT,0,0,0,0,166250000000.0,180860000000.0,47.47,32.68,4.86,5.22,5.5,5.64,23.17,11.15,15.38,4.59,11.56,32100000000.0,18.14,2.5,18710000000.0,8029999999.999999,3540000000.0,1.99,-16.1,3670000000.0,2.07,18270000000.0,60.05,1.43,17.08,6140000000.0,4590000000.0,0.97,86.71,85.29,10720000.0,1770000000.0,1760000000.0,0.73,77.18,19570000.0,1.47,1.13,17770000.0
0,0,ACE,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,0,ACI,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,0,ACN,0,0,0,0,119360000000.0,117330000000.0,24.4,23.31,2.65,2.72,7.71,2.63,14.84,11.13,14.66,13.44,34.01,44660000000.0,70.1,6.6,13310000000.0,7200000000.0,4970000000.0,7.66,9.8,5440000000.0,8.54,3410000000.0,21.42,1.38,24.28,6560000000.0,5130000000.0,1.03,171.51,190.86,3360000.0,637030000.0,635940000.0,0.19,74.68,7560000.0,2.66,1.19,7640000.0
0,0,ACT,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,0,ADBE,0,0,0,0,176710000000.0,177250000000.0,55.57,37.17,1.91,15.41,16.89,15.2,41.13,27.72,30.1,10.77,31.79,11660000000.0,24.05,18.8,9500000000.0,4080000000.0,3230000000.0,6.6,41.7,4170000000.0,8.66,4710000000.0,45.02,1.24,21.67,4730000000.0,3580000000.0,0.9,332.11,327.84,4139999.9999999995,483270000.0,479970000.0,0.29,89.1,5170000.0,1.42,1.07,5700000.0
0,0,ADI,0,0,0,0,39160000000.0,44000000000.0,32.72,25.06,2.78,6.89,3.35,7.65,18.76,21.06,28.04,4.67,10.41,5750000000.0,15.59,-15.4,4010000000.0,2430000000.0,1210000000.0,3.25,-42.6,654410000.0,1.78,5950000000.0,50.9,1.08,31.75,2230000000.0,1740000000.0,1.37,99.49,109.29,3320000.0,368220000.0,366780000.0,0.33,91.45,5980000.0,2.16,1.63,5000000.0
0,0,ADM,0,0,0,0,20210000000.0,28200000000.0,13.38,12.42,1.37,0.32,1.07,0.44,9.32,2.39,2.51,2.21,8.08,64319999999.99999,114.35,-2.2,4150000000.0000005,2610000000.0,1540000000.0,2.72,67.8,4730000000.0,8.52,13490000000.0,70.82,1.51,34.15,-4070000000.0000005,1200000000.0,0.96,35.35,40.8,3710000.0,555500000.0,553640000.0,0.44,80.7,8020000.0,2.5,1.45,7000000.0
0,0,ADP,0,0,0,0,63510000000.0,64170000000.0,25.35,24.45,2.69,4.35,11.57,4.35,16.56,17.15,21.85,4.4,47.13,14760000000.0,34.17,5.7,6390000000.0,3690000000.0,2530000000.0,5.83,8.9,1710000000.0,3.97,2460000000.0,44.88,1.03,12.77,2980000000.0,2440000000.0,0.85,137.74,158.97,2920000.0,429770000.0,428970000.0,0.14,82.28,4320000.0,1.73,1.01,5130000.0
0,0,ADSK,0,0,0,0,40330000000.0,41030000000.0,191.67,42.55,1.05,12.5,N/A,12.53,86.18,6.55,11.45,4.3,N/A,3270000000.0,14.9,22.0,2980000000.0,467700000.0,214500000.0,0.96,103.7,1840000000.0,8.4,2540000000.0,N/A,0.83,-0.63,1420000000.0,908060000.0,1.59,166.69,175.81,2430000.0,219520000.0,219090000.0,0.15,97.69,3680000.0,1.65,1.68,3880000.0
0,0,ADT,0,0,0,0,4350000000.0,13990000000.0,N/A,6.28,N/A,0.82,1.37,2.73,6.01,-12.53,4.81,0.95,-18.68,5250000000.0,7.02,10.2,3740000000.0,2230000000.0,-657970000.0,-0.88,N/A,118140000.0,0.15,10400000000.0,359.1,0.58,3.76,1610000000.0,720270000.0,2.18,5.04,6.65,2240000.0,770150000.0,117410000.0,1.84,95.27,22470000.0,9.56,20.11,26720000.0
0,0,AEE,0,0,0,0,17190000000.0,26970000000.0,20.79,20.04,2.66,2.91,2.13,4.56,10.88,14.67,24.03,3.02,10.44,5650000000.0,22.99,-7.2,2740000000.0,2360000000.0,828000000.0,3.35,38.2,16000000.0,0.06,9830000000.0,119.9,0.57,32.73,2170000000.0,-504000000.0,0.29,72.8,76.78,2160000.0,246740000.0,244870000.0,0.43,77.0,12690000.0,7.3,5.9,12780000.0
